Identyfikator problemu,Opis,Stan,Ważność,Punkty scenariusza,Ścieżka projektu,Rodzaj lokalizacji,ŚCIEŻKA,Wiersz,Kolumna,Identyfikator zdarzenia,Link pomocy,Nazwa zestawu,Wersja zestawu,Klucz publiczny zestawu,Fragment kodu
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,119,12,P:System.Windows.Forms.ButtonBase.Text,,,,,"this.checkBox7.Text = ""checkBox7"";"
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,118,12,T:System.Windows.Forms.CheckBox,,,,,this.checkBox7.TabIndex = 7;
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,118,12,P:System.Windows.Forms.Control.TabIndex,,,,,this.checkBox7.TabIndex = 7;
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,117,12,T:System.Windows.Forms.CheckBox,,,,,"this.checkBox7.Size = new System.Drawing.Size(80, 17);"
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,117,12,P:System.Windows.Forms.Control.Size,,,,,"this.checkBox7.Size = new System.Drawing.Size(80, 17);"
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,116,12,T:System.Windows.Forms.CheckBox,,,,,"this.checkBox7.Name = ""checkBox7"";"
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,116,12,P:System.Windows.Forms.Control.Name,,,,,"this.checkBox7.Name = ""checkBox7"";"
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,115,12,T:System.Windows.Forms.CheckBox,,,,,"this.checkBox7.Location = new System.Drawing.Point(145, 87);"
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,115,12,P:System.Windows.Forms.Control.Location,,,,,"this.checkBox7.Location = new System.Drawing.Point(145, 87);"
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,114,12,T:System.Windows.Forms.CheckBox,,,,,this.checkBox7.AutoSize = true;
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,114,12,P:System.Windows.Forms.ButtonBase.AutoSize,,,,,this.checkBox7.AutoSize = true;
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,110,12,T:System.Windows.Forms.CheckBox,,,,,this.checkBox6.UseVisualStyleBackColor = true;
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,110,12,P:System.Windows.Forms.ButtonBase.UseVisualStyleBackColor,,,,,this.checkBox6.UseVisualStyleBackColor = true;
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,109,12,T:System.Windows.Forms.CheckBox,,,,,"this.checkBox6.Text = ""checkBox6"";"
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,109,12,P:System.Windows.Forms.ButtonBase.Text,,,,,"this.checkBox6.Text = ""checkBox6"";"
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,108,12,T:System.Windows.Forms.CheckBox,,,,,this.checkBox6.TabIndex = 6;
